"timestamp", "logmsg", "http.contentType", "json.Device_Model", "json.LEVEL", "json.Message", "logtypes", "tags", "http.clientHost"
"2018-12-20 01:10:38.321 +01:00","{""LEVEL"":""Log"",""Message"":""cd4cd99daef92fd92a265641c53e5970_2018\/12\/20 01:10:41_release_8426"",""Stack_Trace"":"""",""Device_Model"":""OnePlus ONEPLUS A6013""}","application/x-www-form-urlencoded","OnePlus ONEPLUS A6013","Log","cd4cd99daef92fd92a265641c53e5970_2018/12/20 01:10:41_release_8426","['json']","['Unity3D']","141.134.192.220"
"2018-12-20 01:10:38.301 +01:00","{""LEVEL"":""Log"",""Message"":""cd4cd99daef92fd92a265641c53e5970_2018\/12\/20 01:10:41_release_gameOver"",""Stack_Trace"":"""",""Device_Model"":""OnePlus ONEPLUS A6013""}","application/x-www-form-urlencoded","OnePlus ONEPLUS A6013","Log","cd4cd99daef92fd92a265641c53e5970_2018/12/20 01:10:41_release_gameOver","['json']","['Unity3D']","141.134.192.220"
"2018-12-20 01:08:12.899 +01:00","{""LEVEL"":""Log"",""Message"":""cd4cd99daef92fd92a265641c53e5970_2018\/12\/20 01:08:16_release_gameResumed"",""Stack_Trace"":"""",""Device_Model"":""OnePlus ONEPLUS A6013""}","application/x-www-form-urlencoded","OnePlus ONEPLUS A6013","Log","cd4cd99daef92fd92a265641c53e5970_2018/12/20 01:08:16_release_gameResumed","['json']","['Unity3D']","141.134.192.220"
"2018-12-20 01:08:11.769 +01:00","{""LEVEL"":""Log"",""Message"":""cd4cd99daef92fd92a265641c53e5970_2018\/12\/20 01:08:14_release_gameStarted"",""Stack_Trace"":"""",""Device_Model"":""OnePlus ONEPLUS A6013""}","application/x-www-form-urlencoded","OnePlus ONEPLUS A6013","Log","cd4cd99daef92fd92a265641c53e5970_2018/12/20 01:08:14_release_gameStarted","['json']","['Unity3D']","141.134.192.220"
"2018-12-19 20:58:59.490 +01:00","{""LEVEL"":""Log"",""Message"":""deba690ab4d9f6721bda0cb2045e3e5a_2018\/12\/19 20:58:59_release_5571"",""Stack_Trace"":"""",""Device_Model"":""motorola Moto G (4)""}","application/x-www-form-urlencoded","motorola Moto G (4)","Log","deba690ab4d9f6721bda0cb2045e3e5a_2018/12/19 20:58:59_release_5571","['json']","['Unity3D']","213.251.97.155"
"2018-12-19 20:58:59.487 +01:00","{""LEVEL"":""Log"",""Message"":""deba690ab4d9f6721bda0cb2045e3e5a_2018\/12\/19 20:58:59_release_gameOver"",""Stack_Trace"":"""",""Device_Model"":""motorola Moto G (4)""}","application/x-www-form-urlencoded","motorola Moto G (4)","Log","deba690ab4d9f6721bda0cb2045e3e5a_2018/12/19 20:58:59_release_gameOver","['json']","['Unity3D']","213.251.97.155"
"2018-12-19 20:56:00.750 +01:00","{""LEVEL"":""Log"",""Message"":""deba690ab4d9f6721bda0cb2045e3e5a_2018\/12\/19 20:56:01_release_gameResumed"",""Stack_Trace"":"""",""Device_Model"":""motorola Moto G (4)""}","application/x-www-form-urlencoded","motorola Moto G (4)","Log","deba690ab4d9f6721bda0cb2045e3e5a_2018/12/19 20:56:01_release_gameResumed","['json']","['Unity3D']","213.251.97.155"
"2018-12-19 20:56:00.173 +01:00","{""LEVEL"":""Log"",""Message"":""deba690ab4d9f6721bda0cb2045e3e5a_2018\/12\/19 20:56:00_release_gameStarted"",""Stack_Trace"":"""",""Device_Model"":""motorola Moto G (4)""}","application/x-www-form-urlencoded","motorola Moto G (4)","Log","deba690ab4d9f6721bda0cb2045e3e5a_2018/12/19 20:56:00_release_gameStarted","['json']","['Unity3D']","213.251.97.155"
"2018-12-19 20:55:54.547 +01:00","{""LEVEL"":""Log"",""Message"":""deba690ab4d9f6721bda0cb2045e3e5a_2018\/12\/19 20:55:54_release_gamePaused"",""Stack_Trace"":"""",""Device_Model"":""motorola Moto G (4)""}","application/x-www-form-urlencoded","motorola Moto G (4)","Log","deba690ab4d9f6721bda0cb2045e3e5a_2018/12/19 20:55:54_release_gamePaused","['json']","['Unity3D']","213.251.97.155"
"2018-12-19 20:54:43.128 +01:00","{""LEVEL"":""Log"",""Message"":""deba690ab4d9f6721bda0cb2045e3e5a_2018\/12\/19 20:54:43_release_gameResumed"",""Stack_Trace"":"""",""Device_Model"":""motorola Moto G (4)""}","application/x-www-form-urlencoded","motorola Moto G (4)","Log","deba690ab4d9f6721bda0cb2045e3e5a_2018/12/19 20:54:43_release_gameResumed","['json']","['Unity3D']","213.251.97.155"
